Key,Id,Shared Comments,Korean(ko),Korean(ko) Comments,English(en),English(en) Comments,Japanese(ja),Japanese(ja) Comments,French (France)(fr-FR),French (France)(fr-FR) Comments,Chinese (Simplified)(zh-CN),Chinese (Simplified)(zh-CN) Comments,Chinese (Traditional)(zh-TW),Chinese (Traditional)(zh-TW) Comments
"Assassin",10535034880,"","어쎄신","","Assassin","","エーシン","","Assassin","","刺客","","刺客",""
"Ballista",74405896192,"","발리스타","","Ballista","","バリスタ","","Ballista","","弩炮","","弩砲",""
"Canon",86296748032,"","캐논","","Canon","","キャノン","","Cannon","","加农炮","","加農砲",""
"Defender",93393510400,"","디펜더","","Defender","","ディフェンダー","","Défenseur","","防御者","","防守者",""
"Wizard",110174920704,"","위자드","","Wizard","","ウィザード","","Magicien","","巫师","","巫師",""
"Panel-Assassin",32440285388800,"","어쎄신은 공격력이 높은대신 방어력이 낮습니다.","","Assassins have high attack power but low defense.","","アサシンは攻撃力が高いが防御力が低いです。","","Les unités Assassin ont une puissance d'attaque élevée mais une faible défense.","","刺客拥有高攻击力但防御力较低。","","刺客擁有高攻擊力但防禦力較低。",""
"Panel-Ballista",32585299255296,"","발리스타 타워는 적을 공격합니다.","","The Ballista Tower engages in combat against the adversaries.","","バリスタタワーは敵との戦闘に参加します。","","La tour de baliste attaque les ennemis","","弩炮塔与对手交战。","","弩砲塔與對手交戰。",""
"Panel-Canon",32630874562560,"","캐논을 발사하여 주변 적들을 공격합니다.","","The Cannon Tower performs area attacks.","","キャノンタワーは広範囲の攻撃を行います。","","La tour de canon effectue des attaques de zone.","","加农炮塔进行区域攻击。","","加農砲塔進行區域攻擊。",""
"Panel-Defender",32655935528960,"","디펜더는 방어력이 높은대신 공격력이 낮습니다.","","The Defender has high defense but low attack power.","","ディフェンダーは高い防御力を持っていますが、攻撃力は低いです。","","Les unités Défenseur ont une défense élevée mais une puissance d'attaque faible.","","防御者有很高的防御但攻击力较低。","","防守者有很高的防禦但攻擊力較低。",""
"Panel-Wizard",32684570042368,"","마법 공격을 통해 적의 이동 속도를 감소시킵니다.","","Through magical attacks, it reduces the enemy's movement speed.","","魔法攻撃により、敵の移動速度を減少させます。","","Grâce à des attaques magiques, il ralentit la vitesse de déplacement de l'ennemi.","","通过魔法攻击，减慢敌人的移动速度。","","透過魔法攻擊，減緩敵人的移動速度。",""